id,primary,compound,resolution,climax,fa_len,tied,pacing
anton2025-common-ownership-innovation,overlooked-alternative,[] # 溢出/业务偷取条件化是机制，非子类型,revelation,Results——亮面揭晓：技术溢出下共同所有权促进创新（'common ownership of firms mitigates this impediment to corpo,3,,两趋势并置→Softbank 案例→反竞争/亲竞争分野→溢出模型→邻近度条件；climax=亮面揭晓；falling a
bendig2024-cvc-alliance-recalls,paradigms-at-war,[] # 倒 U 是裁决方式，非子类型,arbitration,"Results——倒 U 揭晓：CVC 平方项 −.021, p<.05/联盟平方项 −.071, p<.05——'either no or rather bold externa",3,,数据 Hook→RBV 共识→暗面→倒 U 理论→U-test 三标准；climax=倒 U 揭晓（平方项双负）；fal
chen2009-recall-strategy-value,irony-reversal,[] # 信号解释是机制，非子类型,revelation,Results——反直觉揭晓：主动策略比被动策略带来更负面股票回报（'contrary to the conventional wisdom'——'regardless of fi,3,,召回代价开场（Vioxx/Topps）→四分类→equivocal→信号理论；climax=主动反果揭晓；falling
crash-risk-common-ownership,paradigms-at-war,[] # 信息优势/智能退出是机制，非子类型,arbitration,Results——稳定作用揭晓：有行业共同所有者的企业崩盘风险显著更低（'firms with at least one industry common owner have si,3,,共同所有者上升→约束解释→相反预测→说明性模型→实证；climax=稳定作用揭晓；falling action 多测量+
csr-decoupling-china,paradigms-at-war,[] # 三渠道是机制，非子类型,arbitration,Results——裁决揭晓：CIO 显著降低 CSR 脱钩（'supporting the coordinated governance hypothesis'——协调治理胜出）,3,,脱钩批评→治理空白→CIO 上升→两假设→裁决；climax=coordinated 胜出；falling action
cutolo2024-now-it-makes-more-sense,consensus-puzzle,[],remedy,Results 主表：负二项主效应 + 三调节（log-count 系数 → predicted count at moderator min/max → penalty redu,2,,Intro 节奏：共识慢铺（P1-P2 含 Foucault 深化）→ 'Luckily' 急转（P3 受益反证）→ 目
darby2024-ceo-ownership-recalls,irony-reversal,[neglected-arena] # timing 前因空白（三篇 CEO-recalls 文献但 'none of them examine recall timing'）,revelation,"Results——H1 揭晓：CEO 持股越多召回越慢（β=0.23, p<.01——+2% 持股 → 26 天延迟）——对齐工具反果首揭",6,,Epigram→反转开场→前因缺口→三机制→双 DV（TTR + CAR）；climax=H1 反果揭晓（26 天）；f
darby2025-activist-investors,assumption-flip,[] # 威慑机制是解法，非子类型,revelation,"Results——H1 揭晓：activist 持股（瞄准他企）→ 更快召回（PSM：−23.10 天 ATE, p=.001——'firms with activist inve",3,,Vioxx 死亡规模开场→内部治理已做→外部缺口→威慑机制→spillover 设计；climax=PSM −23 天揭
darby2026-institutional-ownership,overlooked-alternative,[] # 信息不对称边界是条件化，非子类型,revelation,Results——H1 揭晓：大机构持股 → 更快召回（1% 持股 → 24 天加速）——被警惕者反而是保护者（watchdog 首揭）,4,,Epigraph→内部局限→Big Four 规模→双 RQ；climax=H1 揭晓（24 天加速）；falling 
denicolo2025-common-ownership-governance,half-domain-gap,[] # 均衡权衡是解法，非子类型,exploration,"理论揭晓——均衡所有权结构：'as competition becomes more intense or the market more fragmented, the degr",3,,传统→新共识→治理代价→权衡→均衡模型（2→N 企业递进）→政策含义；climax=均衡解揭晓；falling acti
desai2012-mass-media,neglected-arena,[] # 内层 Inadequacy（注意力转移）是成因,exploration,Results Tables 2-3：主效应为负（他人事故越多，防御声明越少——反直觉揭晓）+ H1 交互正（fieldwide scrutiny 高时防御增加，支持）——'何时防,4,,Theory 是'对峙→条件化'序列；climax 的主效应为负是意外转向（读者预期事故多→防御多，实际相反）——反直觉
desjardine2022-rising-tide,overlooked-alternative,[],revelation,Results paragraph 1：描述统计 + 主结果（H1 长短期共同所有权 × CSR 正相关）——'涨潮'叙事首验,4,,Stakes 后置（政策辩论收尾）；Theory stroke/glide ~70:30；showing 断裂点：H2-
desjardine2023-new-invisible-hand,irony-reversal,[neglected-arena] # 不可见域被忽视（动态版：范式再生产盲区）,revelation,Results Table 4 Model 2：media-rival CIO 1.426***（p<0.001）——经济显著性转译：+7.7% 负面性 ≈ 从'3% 利润增长'（,5,,Theory 三小节递进（economic forces → common owners → media asset——
desjardine2025-information-competition,neglected-arena,[] # 动态声誉条件是机制，非子类型,revelation,Results——渗透揭晓：目标公司 ESG 评级与对手投资者在评级机构的持股负相关（'a target firm's ESG rating by MSCI is negative,3,,竞争行动谱系→信息战先例→中介引入→渗透理论→声誉条件；climax=渗透揭晓（负相关）；falling action 
eilert2017-recall-timing,neglected-arena,[] # 反直觉主效应（severity→延迟）是拓荒后的地形发现，非子类型,exploration,"Results Table 7——H1 揭晓：**problem severity 显著延长召回时间（.84, p<.01）**——'问题越严重召回越慢'——威胁刚性的反直觉首揭（",5,,双向成本矛盾（Thus... However... Therefore... 逻辑链）；climax=severity 
employee-free-speech-censorship,irony-reversal,[] # 双刃（审查/言论自由都损害安全）是发现，非子类型,revelation,Results——受众分裂揭晓：审查提高民主党心理安全、降低共和党（Study 2-3 预注册确认——'censorship increases Democrats' psycho,3,,自由言论原则→解雇案例→悖论声明→全国样本→四研究递进；climax=受众分裂揭晓（Study 2-3）；falling
fang2025-rival-recall-advertising,consensus-puzzle,[] # 机会/威胁双重解读是结构，非子类型,revelation,Results——威胁主导揭晓：替代品牌总体广告 −50%（'threat interpretation dominates the opportunity interpretat,4,,Samsung 机会共识→GM irony→双重解读→三策略理论；climax=威胁主导揭晓（−50%——机会共识被翻）
gamache2020-serving-differently,cross-domain-unification,[] # 内层 mild Inadequacy（分域研究的惯例）是成因，不是独立子结构,unification,Results 主结果：四个模块化假设段落（expectation→model→coefficient→interpretation→magnitude）——2×2 的四个格逐格揭,4,,Theory 每个假设三理由平行（'Additionally... Finally...'）制造匀速推进的节奏；T2 立
gamache2023-shifting-perspectives,consensus-puzzle,"[assumption-flip] # ""女性 CEO 保守=风险偏好差异""前提被翻转成信息加工差异",revelation,"Results——复现主效应（β=−0.552, p=.000，女性 CEO 少 41.88% 收购）后三交互揭晓：",3,,共识→反例→整合→机制→预览五步 Intro；Results 复现-消解节奏（先 −0.552 主效应，再三交互消解）；
gao2015-prerecall-advertising,consensus-puzzle,[] # 条件地图是发现，非子类型,revelation,Results——条件揭晓：加广告在新产品+小危害时缓冲（'softens the stock price loss'）、在老产品+大危害时加剧（'sharpens the los,3,,股价损失四连开场→预防策略动机→条件理论→四象限；climax=条件揭晓（缓冲/加剧并存）；falling action
hahl2017-authentic-lowbrow,assumption-flip,[consensus-puzzle] # homology 共识 vs 杂食现象持续违背,revelation,"Study 1 结果——authenticity-insecure 高地位者偏好高真实性低眉画（4.16 vs 3.28, z=2.742, p=.006；",3,,双研究实验节奏（每 study 一轮 climax）；Study 1 需求侧→Study 2 观众侧递进；每轮含操纵检验
han2020-now-you-see-me,consensus-puzzle,[] # 对称边界条件（insider 放大 + outsider 消解）是调制结构，非子类型,revelation,Results Table 2——H1 复现共识（firm status → 丑闻化 0.073***）+ H2/H3 揭晓：insider 放大（0.196***——边际效应从 ,4,,共识→去情境化批判→对称边界条件→发现预览；climax=三结果并置（复现+双向调制）；falling action 边
han2024-public-enemies,tangled-constructs,[neglected-arena] # scandalization 研究关注事后、忽略过程（P2-P3）,revelation,Results Table 7：四个交互全部成立——reputation × objective 正（p=.004：低严重度 2.20 n.s. → 高严重度 12.59***）、,3,,P4 并置 → P5 拆开 → Theory 机制区分 → Results 四交互 + 两交叉点（先给象限再给分界线）—
haunschild2004-volition-learning,paradigms-at-war,[] # 裁决方式=实证偏向 + 组织形态条件化,arbitration,Results——裁决揭晓：自愿召回→更多学习（后续非自愿召回减少——'voluntary recalls result in more learning than mandate,3,,核心问句开场→两派冲突→学习曲线传统→裁决；climax=voluntary 胜出揭晓；falling action 浅
haunschild2015-oscillation-learning,consensus-puzzle,[] # errors 双角色是机制，非子类型,revelation,Results——振荡确认：制药企业 learn→forget 循环（'confirm our theory'——学习、遗忘、再学、再忘的循环实证）,3,,双灾难开场→振荡困惑→双角色理论→遗忘进程→混合方法；climax=振荡确认；falling action 双角色+遗忘
hoffmann2024-sue-me-recalls,neglected-arena,[] # UD 法律意外后果是发现，非子类型,exploration,Results——UD 揭晓：法律采纳后受影响企业更不愿意召回（模型自由证据 99% 置信——'unintended negative consequences of imposi,3,,标题挑衅→前因稀疏→UD 引入→代理冲突→双边界；climax=UD 揭晓（99% 置信——'unintended ne
kalaignanam2013-recall-learning,neglected-arena,[] # 中介+双 enabler 是结构，非子类型,exploration,Results——学习效应揭晓：召回幅度→未来事故/召回减少（可靠性部分中介）——'firms do learn from recalls'（GM 反例 vs 学习现实的首揭）,3,,召回频率增长→学习未知→GM 反例→组织学习理论→双 enabler→中介模型；climax=学习效应揭晓；fallin
kashmiri2017-narcissism-product-harm,neglected-arena,[] # 双刃后果是发现，非子类型,exploration,"Results——H4a 揭晓：自恋 → product-harm crisis（β=+2.25, p<.01）——'Me, Myself, and I' 的自恋者害人害己（创新 ",5,,black box→双 RQ→自恋引入→双后果理论→中介+解药；climax=H4a 危机揭晓（+2.25）；falli
keeves2017-sharpest-knife,irony-reversal,[assumption-flip] # 单向收益前提被挑战（'focused almost entirely on the beneficial outcomes'）,revelation,Results——H1a/H1b 揭晓：逢迎显著增加怨恨（1 SD 恭维→1.5-2 点怨恨/5 分制）——'讨好者怨恨被讨好者'首次揭晓,4,,单向缺口→悖论核心→边界→后果链；climax=怨恨揭晓（1.5-2 点/5 分制）；falling action 机制
kundro2023-power-objectors,consensus-puzzle,"[assumption-flip] # ""权力=保护伞""（power as panacea）前提被性别条件化挑战",remedy,"Study 1——H1/H2 揭晓：power 减少报复（b=−.12, p<.001）但 gender 交互显著（b=−.08, p=.007）——",4,,四研究递进（档案→实验→机制实验→复现——每研究一轮 climax 起伏）；falling action 含解药揭晓
lashley2020-waiting-to-inhale,overlooked-alternative,[] # 内层 Incompleteness：stigma 文献做的是 manage，remove 路径无人做,revelation,Findings 开头——Process-Model Overview（F1：三阶段 + 分析透镜 + 竞争目标预览）：'去除污名'的过程模型首次亮相（Initiating a M,4,,Stroke/Glide ~70:30（theory 报告量化）；illustration 分布：田野引用 55% / 
li2026-vertical-spillover,assumption-flip,[neglected-arena] # 垂直溢出子域空白（'largely under-researched'——与 pupovac 共享）,revelation,Results——垂直溢出确认：买方召回→供应商显著价值损失（'Confirming the vertical spillover effect'——首揭）,3,,VW/ZTE 案例开场→水平已做/垂直空白→管道/棱镜理论→三网络条件；climax=垂直溢出确认；falling ac
liu2016-recall-remedy,half-domain-gap,[] # 成本-危害权衡 + CEO 干扰是结构，非子类型,exploration,"Results——H2 揭晓：危害严重→更可能全额补救（β=.477, p<.05——'remedies provided are overall responsive to co",3,,决策半区缺口→Big Lots 对照→成本-危害框架→CEO 激励→logit；climax=H2 揭晓（'good n
